,location,total_sqft,bath,price,bhk
1739,Devarachikkanahalli,1130.0,2.0,36.0,2
1740,Devarachikkanahalli,1417.0,2.0,76.0,3
1741,Devarachikkanahalli,1230.0,2.0,58.0,2
1742,Devarachikkanahalli,1705.0,3.0,75.0,3
1743,Devarachikkanahalli,1116.0,2.0,47.0,2
1744,Devarachikkanahalli,991.0,2.0,40.0,2
1746,Dodda Nekkundi,1260.0,2.0,55.0,2
1747,Dodda Nekkundi,850.0,2.0,28.0,2
1748,Dodda Nekkundi,1390.0,2.0,60.0,2
1749,Dodda Nekkundi,1804.0,3.0,121.0,3
1750,Dodda Nekkundi,1080.0,2.0,50.0,2
1751,Dodda Nekkundi,1999.0,3.0,132.0,3
1752,Dodda Nekkundi,1100.0,2.0,48.0,2
1753,Dodda Nekkundi,1999.0,3.0,135.0,3
1754,Dodda Nekkundi,1100.0,2.0,41.15,2
1755,Dodda Nekkundi,1252.0,2.0,71.0,3
1756,Dodda Nekkundi,1155.0,2.0,46.0,2
1757,Dodda Nekkundi,1128.0,2.0,45.0,2
1758,Dodda Nekkundi,1148.0,2.0,56.0,2
1760,Dodda Nekkundi,1145.0,2.0,46.5,2
1761,Dodda Nekkundi,1829.0,3.0,125.0,3
1762,Dodda Nekkundi,1100.0,2.0,41.16,2
1763,Dodda Nekkundi,1100.0,2.0,46.75,2
1764,Dodda Nekkundi,1315.0,2.0,50.0,2
1765,Dodda Nekkundi,1135.0,2.0,58.0,2
1766,Dodda Nekkundi,1100.0,2.0,41.18,2
1767,Dodda Nekkundi,1370.0,2.0,60.0,2
1768,Dodda Nekkundi,1200.0,2.0,71.0,2
1769,Dodda Nekkundi,1585.0,2.0,79.0,3
1770,Dodda Nekkundi,1005.0,2.0,45.0,2
1771,Dodda Nekkundi,1264.0,2.0,52.0,2
1772,Doddaballapur,1690.0,3.0,80.0,4
1773,Doddaballapur,4200.0,4.0,325.0,4
1774,Doddaballapur,3876.0,3.0,300.0,3
1775,Doddaballapur,2776.0,4.0,195.0,3
1776,Doddaballapur,2440.0,3.0,142.0,3
1777,Doddaballapur,2400.0,3.0,200.0,4
1778,Doddaballapur,654.0,1.0,49.0,1
1779,Doddaballapur,3206.0,5.0,270.0,4
1780,Doddakallasandra,1010.0,2.0,40.39,2
1785,Doddakallasandra,1010.0,2.0,40.39,2
1786,Doddakallasandra,1072.0,2.0,42.87,2
1787,Doddakallasandra,1010.0,2.0,40.4,2
1788,Doddakallasandra,1010.0,2.0,41.0,2
1789,Doddakallasandra,1072.0,2.0,42.87,2
1790,Doddathoguru,970.0,2.0,33.0,2
1791,Doddathoguru,1050.0,2.0,32.0,2
1792,Doddathoguru,850.0,2.0,25.0,2
1793,Doddathoguru,1030.0,2.0,42.0,2
1794,Doddathoguru,1549.0,3.0,65.0,3
1796,Doddathoguru,550.0,1.0,17.0,1
1797,Doddathoguru,1015.0,2.0,33.5,2
1798,Doddathoguru,1104.0,2.0,39.0,2
1799,Doddathoguru,915.0,2.0,32.0,2
1800,Doddathoguru,750.0,1.0,25.5,1
1801,Doddathoguru,1595.0,3.0,62.0,3
1802,Doddathoguru,855.0,2.0,32.0,2
1803,Doddathoguru,1105.0,2.0,50.0,2
1804,Doddathoguru,925.0,2.0,30.0,2
1806,Doddathoguru,1208.0,3.0,45.0,3
1807,Doddathoguru,1100.0,2.0,50.0,2
1808,Doddathoguru,940.0,2.0,32.9,2
1809,Doddathoguru,1382.0,3.0,65.0,3
1810,Doddathoguru,1107.0,2.0,44.0,2
1811,Doddathoguru,907.0,2.0,40.0,2
1812,Doddathoguru,1783.0,3.0,85.0,3
1813,Doddathoguru,550.0,1.0,17.0,1
1814,Dodsworth Layout,30000.0,4.0,2100.0,4
1815,Dodsworth Layout,1400.0,2.0,80.0,2
1816,Dodsworth Layout,1717.0,3.0,99.0,3
1817,Dodsworth Layout,1594.0,3.0,99.0,3
1818,Dodsworth Layout,1893.0,3.0,115.0,3
1819,Dodsworth Layout,1400.0,2.0,85.0,2
1820,Dodsworth Layout,30400.0,4.0,1824.0,6
1821,Domlur,1540.0,3.0,90.0,3
1822,Domlur,1875.0,2.0,150.0,3
1823,Domlur,1429.0,3.0,86.0,3
1824,Domlur,640.0,1.0,55.0,1
1825,Domlur,1050.0,2.0,85.0,2
1826,Domlur,1800.0,3.0,150.0,3
1827,Domlur,1720.0,3.0,135.0,3
1828,Domlur,1950.0,3.0,165.0,3
1829,Domlur,2180.0,3.0,285.0,3
1830,Domlur,650.0,1.0,70.0,1
1831,Domlur,780.0,1.0,70.0,1
1832,Domlur,2180.0,3.0,285.0,3
1833,Domlur,1740.0,3.0,120.0,3
1834,Domlur,1695.0,3.0,125.0,3
1835,Domlur,1246.0,2.0,95.0,2
1836,Domlur,2100.0,3.0,145.0,3
1837,Domlur,1276.0,2.0,80.0,2
1838,Domlur,1850.0,3.0,180.0,3
1839,Domlur,2955.0,3.0,235.0,3
1840,Domlur,1650.0,3.0,180.0,3
1841,Dommasandra,805.0,2.0,22.14,2
1843,Dommasandra,1153.0,2.0,43.5,2
1844,Dommasandra,1500.0,2.0,40.0,2
1845,Dommasandra,850.0,2.0,25.4,2
1846,Dommasandra,674.0,1.0,19.9,2
1847,Dommasandra,999.0,2.0,32.9,2
1848,EPIP Zone,1499.0,5.0,102.0,3
1849,EPIP Zone,1285.0,2.0,82.0,2
1850,EPIP Zone,2330.0,3.0,162.0,3
1851,EPIP Zone,1330.0,2.0,92.5,2
1852,EPIP Zone,1330.0,2.0,86.98,2
1853,EPIP Zone,1330.0,2.0,93.36,2
1855,EPIP Zone,1500.0,3.0,102.0,3
1856,EPIP Zone,1280.0,2.0,69.0,2
1857,EPIP Zone,1125.0,2.0,65.0,2
1858,EPIP Zone,1734.0,3.0,125.0,3
1860,EPIP Zone,1343.0,2.0,86.0,2
1861,EPIP Zone,2350.0,4.0,163.0,3
1862,EPIP Zone,1860.0,3.0,130.0,3
1863,EPIP Zone,2210.0,3.0,165.0,3
1864,EPIP Zone,2710.0,3.0,177.0,3
1867,Electronic City,1025.0,2.0,47.0,3
1870,Electronic City,1500.0,2.0,64.5,3
1871,Electronic City,1060.0,2.0,60.0,2
1872,Electronic City,1152.0,2.0,64.5,2
1874,Electronic City,770.0,1.0,36.0,2
1875,Electronic City,1070.0,2.0,52.0,2
1876,Electronic City,1025.0,2.0,46.0,2
1877,Electronic City,589.0,1.0,27.0,1
1879,Electronic City,910.0,2.0,40.0,2
1880,Electronic City,1108.0,2.0,63.0,2
1881,Electronic City,1128.0,2.0,65.0,2
1882,Electronic City,1800.0,3.0,95.0,3
1883,Electronic City,630.0,1.0,34.65,1
1884,Electronic City,1128.0,2.0,63.0,2
1885,Electronic City,1599.0,3.0,99.0,3
1888,Electronic City,1070.0,2.0,55.0,2
1889,Electronic City,940.0,2.0,41.0,2
1891,Electronic City,1128.0,2.0,68.75,2
1892,Electronic City,1342.0,2.0,73.3,2
1893,Electronic City,1360.0,2.0,71.0,3
1895,Electronic City,1265.0,2.0,56.93,2
1896,Electronic City,1691.0,2.0,102.0,3
1897,Electronic City,1128.0,2.0,65.49,2
1900,Electronic City,1070.0,2.0,56.1,2
1901,Electronic City,2000.0,4.0,120.0,4
1902,Electronic City,890.0,2.0,45.0,2
1903,Electronic City,1128.0,2.0,65.65,2
1904,Electronic City,865.0,2.0,42.0,2
1906,Electronic City,910.0,2.0,42.0,2
1908,Electronic City,1360.0,2.0,75.0,3
1909,Electronic City,770.0,1.0,40.0,2
1910,Electronic City,1128.0,2.0,64.0,2
1911,Electronic City,1070.0,2.0,54.0,2
1913,Electronic City,1571.0,3.0,89.0,3
1914,Electronic City,1111.0,3.0,50.0,3
1915,Electronic City,870.0,2.0,39.5,2
1917,Electronic City,1374.0,2.0,72.0,3
1919,Electronic City,1128.0,2.0,65.35,2
1920,Electronic City,1128.0,2.0,65.0,2
1921,Electronic City,755.0,1.0,34.0,2
1925,Electronic City,1563.0,3.0,91.84,3
1926,Electronic City,1652.0,3.0,70.0,3
1928,Electronic City,1025.0,2.0,54.5,2
1930,Electronic City,1350.0,3.0,58.0,3
1933,Electronic City,1700.0,3.0,75.0,3
1935,Electronic City,1128.0,2.0,68.0,2
1936,Electronic City,700.0,1.0,35.0,1
1937,Electronic City,1360.0,2.0,70.5,3
1939,Electronic City,1571.0,3.0,105.0,3
1943,Electronic City,1600.0,3.0,104.0,3
1945,Electronic City,1500.0,2.0,100.0,3
1949,Electronic City,1152.0,2.0,65.0,2
1950,Electronic City,1070.0,2.0,60.0,2
1951,Electronic City,1128.0,2.0,65.5,2
1952,Electronic City,1200.0,2.0,59.0,2
1953,Electronic City,1152.0,2.0,65.75,2
1955,Electronic City,1070.0,2.0,55.0,2
1956,Electronic City,1060.0,2.0,58.0,2
1957,Electronic City,1025.0,2.0,54.1,2
1962,Electronic City,1500.0,2.0,78.0,3
1963,Electronic City,1213.0,2.0,59.32,2
1964,Electronic City,1575.0,3.0,90.0,3
1965,Electronic City,435.0,1.0,19.5,1
1966,Electronic City,1449.0,3.0,100.0,3
1968,Electronic City,1125.0,2.0,58.0,2
1970,Electronic City,1575.0,3.0,101.0,3
1972,Electronic City,550.0,1.0,12.0,1
1973,Electronic City,919.0,2.0,40.0,2
1974,Electronic City,1500.0,2.0,78.25,3
1975,Electronic City,1363.0,2.0,79.0,2
1978,Electronic City,1108.0,2.0,67.15,2
1980,Electronic City,1128.0,2.0,65.7,2
1982,Electronic City,1060.0,2.0,51.0,2
1984,Electronic City,1650.0,3.0,100.0,3
1986,Electronic City,1025.0,2.0,49.0,2
1988,Electronic City,1449.0,3.0,90.0,3
1990,Electronic City,1070.0,2.0,58.0,2
1991,Electronic City,1210.0,2.0,54.0,2
1992,Electronic City,1500.0,2.0,75.0,3
1994,Electronic City,1070.0,2.0,52.0,2
1995,Electronic City,2435.0,4.0,119.0,4
2000,Electronic City,1073.0,2.0,60.0,2
2001,Electronic City,1500.0,2.0,78.0,3
2002,Electronic City,1070.0,2.0,47.0,2
2003,Electronic City,1296.0,2.0,65.0,2
2004,Electronic City,1140.0,2.0,70.93,2
2010,Electronic City,2093.0,4.0,104.0,4
2011,Electronic City,1025.0,2.0,53.9,2
2012,Electronic City,940.0,2.0,54.0,2
2013,Electronic City,435.0,1.0,21.0,1
2014,Electronic City,1500.0,2.0,77.5,3
2015,Electronic City,1631.0,3.0,80.0,3
2016,Electronic City,1355.0,2.0,67.0,2
2019,Electronic City,435.0,1.0,22.0,1
2021,Electronic City,1039.0,2.0,50.0,2
2022,Electronic City,770.0,1.0,39.9,2
2024,Electronic City,1128.0,2.0,64.0,2
2025,Electronic City,605.0,1.0,13.31,1
2027,Electronic City,530.0,1.0,13.5,1
2028,Electronic City,1070.0,2.0,53.0,2
2031,Electronic City,1571.0,3.0,83.0,3
2033,Electronic City,1350.0,3.0,66.0,3
2034,Electronic City,1652.0,3.0,110.0,3
2038,Electronic City,1128.0,2.0,65.58,2
2039,Electronic City,635.0,1.0,28.0,1
2040,Electronic City,1128.0,2.0,65.4,2
2043,Electronic City,1355.0,2.0,72.9,2
2047,Electronic City,770.0,1.0,35.0,2
2049,Electronic City,865.0,2.0,40.0,2
2052,Electronic City,1108.0,2.0,63.0,2
2053,Electronic City,630.0,1.0,40.5,1
2056,Electronic City,605.0,1.0,22.0,1
2058,Electronic City,1070.0,2.0,48.0,2
2060,Electronic City,1360.0,2.0,70.0,3
2061,Electronic City,635.0,1.0,28.0,1
2062,Electronic City,1128.0,2.0,65.45,2
2063,Electronic City,890.0,2.0,40.0,2
2068,Electronic City,1360.0,2.0,58.0,3
2071,Electronic City,630.0,1.0,33.7,1
2075,Electronic City,1400.0,3.0,90.0,3
2076,Electronic City,1287.0,3.0,55.0,3
2077,Electronic City,1258.0,2.0,85.5,2
2078,Electronic City,1386.0,2.0,85.0,2
2079,Electronic City,550.0,1.0,27.0,1
2080,Electronic City,1025.0,2.0,50.0,2
2082,Electronic City,1070.0,2.0,55.0,2
2083,Electronic City,1342.0,2.0,72.0,2
2084,Electronic City,1275.0,3.0,70.0,3
2085,Electronic City,770.0,1.0,38.0,2
2090,Electronic City,1644.0,3.0,92.59,3
2091,Electronic City,1250.0,2.0,62.0,2
2094,Electronic City,418.0,1.0,12.0,1
2095,Electronic City,1128.0,2.0,64.8,2
2098,Electronic City,1060.0,2.0,55.0,2
2099,Electronic City,710.0,1.0,40.42,1
2102,Electronic City,1275.0,3.0,63.43,3
2103,Electronic City,1518.0,3.0,75.0,3
2104,Electronic City,1090.0,2.0,31.48,1
2107,Electronic City,1060.0,2.0,55.0,2
2109,Electronic City,1353.0,2.0,75.0,2
2111,Electronic City,1128.0,2.0,67.0,2
2112,Electronic City,1070.0,2.0,57.0,2
2113,Electronic City,1700.0,3.0,90.0,3
2115,Electronic City,750.0,1.0,35.0,1
2116,Electronic City,1210.0,2.0,55.0,2
2117,Electronic City,1070.0,2.0,60.0,2
2122,Electronic City,1615.0,3.0,97.0,3
2124,Electronic City,1221.0,2.0,68.0,2
2126,Electronic City,1500.0,3.0,73.0,3
2127,Electronic City,995.0,2.0,48.0,2
2128,Electronic City,1342.0,2.0,90.0,2
2130,Electronic City,1128.0,2.0,63.5,2
2131,Electronic City,589.0,1.0,29.0,1
2134,Electronic City,1575.0,3.0,94.5,3
2135,Electronic City,1070.0,2.0,48.0,2
2136,Electronic City,1025.0,2.0,54.0,2
2137,Electronic City,1500.0,2.0,70.0,3
2138,Electronic City,1500.0,2.0,64.5,3
2140,Electronic City,2093.0,4.0,134.0,4
2142,Electronic City,1355.0,2.0,73.0,2
2143,Electronic City,1360.0,2.0,64.99,3
2144,Electronic City,1060.0,2.0,52.0,2
2145,Electronic City Phase II,1056.0,2.0,39.07,2
2146,Electronic City Phase II,1020.0,2.0,30.6,2
2147,Electronic City Phase II,1069.0,2.0,45.0,2
2148,Electronic City Phase II,630.0,1.0,28.35,1
2150,Electronic City Phase II,1000.0,2.0,25.0,2
2151,Electronic City Phase II,1090.0,2.0,28.34,2
2152,Electronic City Phase II,2225.0,4.0,98.88,4
2154,Electronic City Phase II,775.0,2.0,38.0,2
2155,Electronic City Phase II,1266.0,2.0,59.0,2
2156,Electronic City Phase II,1000.0,2.0,28.88,2
2159,Electronic City Phase II,972.0,2.0,44.0,2
2161,Electronic City Phase II,1031.0,2.0,55.0,2
2162,Electronic City Phase II,1003.0,2.0,40.6,2
2163,Electronic City Phase II,1031.0,2.0,56.35,2
2165,Electronic City Phase II,1395.0,2.0,62.78,3
2166,Electronic City Phase II,1160.0,2.0,33.5,2
2167,Electronic City Phase II,1065.0,2.0,30.75,2
2168,Electronic City Phase II,1219.0,2.0,61.25,2
2170,Electronic City Phase II,1000.0,2.0,28.88,2
2171,Electronic City Phase II,1790.0,3.0,100.0,3
2172,Electronic City Phase II,769.0,2.0,40.0,2
2174,Electronic City Phase II,900.0,2.0,32.5,2
2177,Electronic City Phase II,993.0,2.0,50.0,3
2178,Electronic City Phase II,1418.0,3.0,52.47,3
2179,Electronic City Phase II,1070.0,2.0,45.0,2
2182,Electronic City Phase II,1140.0,2.0,33.06,2
2183,Electronic City Phase II,1089.0,2.0,32.67,2
2184,Electronic City Phase II,1031.0,2.0,55.0,2
2185,Electronic City Phase II,1253.0,2.0,65.8,2
2187,Electronic City Phase II,1160.0,2.0,33.5,2
2188,Electronic City Phase II,975.0,2.0,45.0,3
2189,Electronic City Phase II,6000.0,4.0,260.0,4
2190,Electronic City Phase II,1116.0,2.0,37.0,2
2191,Electronic City Phase II,1125.0,2.0,29.25,2
2192,Electronic City Phase II,1000.0,2.0,28.88,2
2193,Electronic City Phase II,1000.0,2.0,28.88,2
2194,Electronic City Phase II,1000.0,2.0,28.88,2
2195,Electronic City Phase II,1165.0,2.0,30.29,2
2196,Electronic City Phase II,3550.0,2.0,167.5,4
2197,Electronic City Phase II,1031.0,2.0,53.0,2
2199,Electronic City Phase II,1065.0,2.0,30.88,2
2201,Electronic City Phase II,1549.0,3.0,80.0,3
2202,Electronic City Phase II,1065.0,2.0,56.13,2
2204,Electronic City Phase II,920.0,2.0,26.0,2
2205,Electronic City Phase II,1140.0,2.0,33.84,2
2206,Electronic City Phase II,1219.0,2.0,61.26,2
2207,Electronic City Phase II,1252.0,2.0,65.0,3
2208,Electronic City Phase II,1125.0,2.0,32.49,2
2210,Electronic City Phase II,1286.0,2.0,69.0,2
2212,Electronic City Phase II,1140.0,2.0,32.92,2
2213,Electronic City Phase II,1116.0,2.0,40.0,2
2214,Electronic City Phase II,1150.0,3.0,46.0,3
2215,Electronic City Phase II,1192.0,2.0,47.0,3
2217,Electronic City Phase II,1020.0,2.0,32.0,2
2218,Electronic City Phase II,1900.0,3.0,97.0,4
2219,Electronic City Phase II,1020.0,2.0,27.43,2
2220,Electronic City Phase II,1025.0,2.0,26.65,2
2221,Electronic City Phase II,1020.0,2.0,29.45,2
2222,Electronic City Phase II,1000.0,2.0,28.88,2
2224,Electronic City Phase II,1140.0,2.0,28.5,2
2225,Electronic City Phase II,1125.0,2.0,32.49,2
2226,Electronic City Phase II,1200.0,2.0,34.65,2
2227,Electronic City Phase II,1160.0,2.0,52.2,2
2228,Electronic City Phase II,1244.0,2.0,55.0,2
2229,Electronic City Phase II,1160.0,2.0,33.51,2
2232,Electronic City Phase II,972.0,2.0,40.0,2
2233,Electronic City Phase II,1160.0,2.0,33.51,2
2235,Electronic City Phase II,1090.0,2.0,31.48,2
2236,Electronic City Phase II,1140.0,2.0,32.92,2
2237,Electronic City Phase II,650.0,1.0,35.0,1
2238,Electronic City Phase II,1155.0,2.0,57.0,2
2239,Electronic City Phase II,1800.0,3.0,92.0,3
2240,Electronic City Phase II,1300.0,2.0,28.0,2
2241,Electronic City Phase II,1160.0,2.0,33.5,2
2242,Electronic City Phase II,1025.0,2.0,29.6,2
2243,Electronic City Phase II,829.0,2.0,22.8,2
2244,Electronic City Phase II,2187.0,4.0,105.0,4
2245,Electronic City Phase II,1252.0,2.0,67.0,2
2247,Electronic City Phase II,1125.0,2.0,32.63,2
2248,Electronic City Phase II,1140.0,2.0,34.0,2
2251,Electronic City Phase II,1252.0,2.0,65.0,3
2252,Electronic City Phase II,1135.0,2.0,46.0,2
2253,Electronic City Phase II,1305.0,3.0,65.0,3
2254,Electronic City Phase II,1165.0,2.0,33.64,2
2256,Electronic City Phase II,1336.0,2.0,50.35,3
2257,Electronic City Phase II,575.0,1.0,16.75,1
2258,Electronic City Phase II,925.0,2.0,49.82,3
2259,Electronic City Phase II,1065.0,2.0,30.76,2
2260,Electronic City Phase II,1065.0,2.0,30.75,2
2261,Electronic City Phase II,1140.0,2.0,33.06,2
2262,Electronic City Phase II,911.0,2.0,26.5,2
2263,Electronic City Phase II,1200.0,2.0,34.65,2
2264,Electronic City Phase II,1031.0,2.0,54.48,2
2268,Electronics City Phase 1,1475.0,3.0,78.29,3
2269,Electronics City Phase 1,1490.0,3.0,78.8,3
2270,Electronics City Phase 1,1113.27,2.0,53.0,2
2271,Electronics City Phase 1,1490.0,3.0,84.0,3
2278,Electronics City Phase 1,1015.0,2.0,56.0,2
2280,Electronics City Phase 1,1515.0,2.0,80.91,3
2281,Electronics City Phase 1,995.0,2.0,46.0,2
2282,Electronics City Phase 1,1555.0,2.0,82.0,3
2283,Electronics City Phase 1,1340.0,2.0,75.0,2
2284,Electronics City Phase 1,1124.0,2.0,55.0,3
2285,Electronics City Phase 1,1175.0,2.0,57.0,2
2286,Electronics City Phase 1,755.0,1.0,42.41,1
2287,Electronics City Phase 1,580.0,1.0,27.0,1
2288,Electronics City Phase 1,940.0,2.0,49.0,2
2289,Electronics City Phase 1,1335.0,2.0,67.0,2
2290,Electronics City Phase 1,1113.12,2.0,55.0,2
2292,Electronics City Phase 1,1350.0,3.0,71.0,3
2294,Electronics City Phase 1,995.0,2.0,49.8,2
2295,Electronics City Phase 1,635.0,1.0,26.0,1
2296,Electronics City Phase 1,1190.0,2.0,68.0,2
2298,Electronics City Phase 1,1450.0,3.0,72.54,3
2299,Electronics City Phase 1,360.0,1.0,16.9,1
2300,Electronics City Phase 1,638.0,1.0,32.0,1
2301,Electronics City Phase 1,1175.0,2.0,64.98,2
2302,Electronics City Phase 1,585.0,1.0,21.0,1
2303,Electronics City Phase 1,1200.0,2.0,59.76,2
2304,Electronics City Phase 1,1145.0,2.0,54.0,2
2305,Electronics City Phase 1,1125.0,2.0,65.0,2
2307,Electronics City Phase 1,1550.0,2.0,82.0,3
2309,Electronics City Phase 1,865.0,2.0,40.0,2
2313,Electronics City Phase 1,1800.0,3.0,93.0,3
2314,Electronics City Phase 1,1314.0,2.0,60.0,2
2315,Electronics City Phase 1,1170.0,2.0,62.0,2
2316,Electronics City Phase 1,1450.0,3.0,79.0,3
2317,Electronics City Phase 1,940.0,2.0,48.0,2
2318,Electronics City Phase 1,940.0,2.0,44.0,2
2319,Electronics City Phase 1,1300.0,2.0,67.0,2
2320,Electronics City Phase 1,1028.0,2.0,51.0,2
2322,Electronics City Phase 1,1205.0,2.0,60.0,2
2324,Electronics City Phase 1,1305.0,2.0,67.0,2
2325,Electronics City Phase 1,755.0,1.0,30.12,1
2326,Electronics City Phase 1,1175.0,2.0,60.0,2
2327,Frazer Town,1700.0,3.0,180.0,3
2328,Frazer Town,1305.0,3.0,95.45,3
2329,Frazer Town,1870.0,3.0,185.0,3
2330,Frazer Town,1750.0,3.0,150.0,3
2332,Frazer Town,2000.0,3.0,200.0,3
2333,Frazer Town,3500.0,4.0,330.0,3
2334,Frazer Town,2350.0,4.0,285.0,3
2335,Frazer Town,1550.0,2.0,140.0,2
2336,Frazer Town,1900.0,4.0,145.0,3
2337,Frazer Town,2560.0,3.0,265.0,3
2338,Frazer Town,2400.0,3.0,260.0,3
2339,Frazer Town,2560.0,3.0,288.0,3
2340,Frazer Town,3436.0,5.0,341.0,4
2342,Frazer Town,1315.0,2.0,140.0,2
2343,Frazer Town,1706.0,3.0,154.0,3
2344,Frazer Town,2079.0,3.0,220.0,3
2345,Frazer Town,3435.0,2.0,341.0,4
2346,Frazer Town,3436.0,5.0,345.0,4
2347,Frazer Town,3100.0,3.0,400.0,3
2348,Frazer Town,5400.0,3.0,400.0,3
2349,Frazer Town,1180.0,2.0,105.0,2
2350,Frazer Town,2900.0,4.0,325.0,4
2351,Frazer Town,1870.0,3.0,180.0,3
2352,Frazer Town,896.0,1.0,100.0,1
2353,Frazer Town,1420.0,2.0,120.0,2
2354,GM Palaya,1820.0,2.0,86.0,3
2355,GM Palaya,1225.0,2.0,47.0,2
2356,GM Palaya,1140.0,2.0,48.95,2
2357,GM Palaya,1315.0,2.0,65.0,3
2358,GM Palaya,1315.0,3.0,65.0,3
2359,GM Palaya,1315.0,3.0,64.0,3
2360,GM Palaya,1735.0,3.0,70.0,3
2361,GM Palaya,1643.0,2.0,70.0,3
2362,Ganga Nagar,600.0,1.0,38.0,1
2363,Ganga Nagar,845.0,2.0,55.0,2
2364,Ganga Nagar,1112.0,2.0,68.0,2
2365,Ganga Nagar,998.0,2.0,65.0,2
2366,Ganga Nagar,1250.0,2.0,65.0,2
2367,Garudachar Palya,1325.0,2.0,60.8,3
2368,Garudachar Palya,1060.0,2.0,48.7,2
2369,Garudachar Palya,1150.0,2.0,52.75,2
2370,Garudachar Palya,1295.0,2.0,59.5,3
2371,Garudachar Palya,1320.0,2.0,60.6,3
2372,Garudachar Palya,1295.0,2.0,59.5,3
2373,Garudachar Palya,1150.0,2.0,52.8,2
2374,Garudachar Palya,1150.0,2.0,52.8,2
2375,Garudachar Palya,1060.0,2.0,48.5,2
2376,Garudachar Palya,1150.0,2.0,52.5,2
2377,Garudachar Palya,1325.0,2.0,60.8,3
2378,Garudachar Palya,1060.0,2.0,48.66,2
2379,Garudachar Palya,1150.0,2.0,52.0,2
2380,Garudachar Palya,1154.0,2.0,51.8,2
2382,Giri Nagar,2400.0,4.0,400.0,4
2383,Giri Nagar,1800.0,3.0,252.0,3
2384,Giri Nagar,1350.0,3.0,240.0,3
2385,Giri Nagar,2400.0,4.0,400.0,4
2386,Giri Nagar,3000.0,4.0,375.0,6
2387,Giri Nagar,2400.0,6.0,400.0,6
2388,Giri Nagar,4000.0,3.0,750.0,4
2389,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2390,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
2391,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2392,Gollarapalya Hosahalli,1318.0,3.0,54.0,3
2393,Gollarapalya Hosahalli,861.0,2.0,36.5,2
2394,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
2395,Gollarapalya Hosahalli,1345.0,3.0,60.0,3
2396,Gollarapalya Hosahalli,1905.0,3.0,86.0,4
2397,Gollarapalya Hosahalli,1318.0,3.0,56.0,3
2398,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
2399,Gottigere,1100.0,2.0,40.0,2
2400,Gottigere,967.0,2.0,45.0,2
2401,Gottigere,1618.0,3.0,82.5,3
2402,Gottigere,1222.0,2.0,63.0,2
2404,Gottigere,1300.0,3.0,65.0,3
2405,Gottigere,950.0,2.0,38.0,2
2406,Gottigere,1153.0,2.0,48.5,2
2407,Gottigere,812.0,1.0,26.0,1
2409,Gottigere,1460.0,2.0,65.0,3
2410,Gottigere,1500.0,3.0,70.0,3
2411,Gottigere,1621.0,3.0,72.0,3
2412,Gottigere,812.0,1.0,26.0,1
2413,Gottigere,990.0,2.0,40.0,2
2414,Gottigere,1235.0,2.0,63.0,2
2415,Gottigere,1385.0,3.0,64.0,3
2416,Gottigere,1000.0,2.0,35.0,2
2417,Gottigere,1010.0,2.0,35.0,2
2419,Gottigere,1410.0,2.0,45.0,2
2421,Gottigere,1435.0,2.0,62.0,3
2422,Gottigere,945.0,2.0,45.0,2
2424,Gottigere,2500.0,3.0,120.0,4
2425,Gottigere,1230.0,2.0,52.0,3
2426,Gottigere,1120.0,2.0,50.0,2
2427,Gottigere,1500.0,3.0,63.0,3
2428,Gottigere,1200.0,2.0,40.0,2
2429,Gottigere,1280.0,2.0,61.0,2
2430,Gottigere,1205.0,2.0,56.58,2
2431,Gottigere,1170.0,2.0,40.0,2
2432,Gottigere,3000.0,3.0,132.0,4
2433,Gottigere,1613.0,3.0,72.0,3
2434,Gottigere,1110.0,2.0,36.25,2
2435,Gottigere,1245.0,2.0,59.0,2
2436,Gottigere,1200.0,2.0,50.0,2
2437,Green Glen Layout,1670.0,3.0,120.0,3
2438,Green Glen Layout,3250.0,4.0,230.0,4
2439,Green Glen Layout,1776.42,3.0,105.0,3
2440,Green Glen Layout,3250.0,4.0,230.0,4
2441,Green Glen Layout,940.0,2.0,56.8,2
2442,Green Glen Layout,1075.0,2.0,60.0,2
2443,Green Glen Layout,1715.0,3.0,115.0,3
2444,Green Glen Layout,1751.0,2.0,115.0,3
2445,Green Glen Layout,1750.0,3.0,130.0,3
2446,Green Glen Layout,1530.0,3.0,105.0,3
2447,Green Glen Layout,1752.0,3.0,105.0,3
2448,Green Glen Layout,1680.0,4.0,95.0,3
2449,Green Glen Layout,1728.0,3.0,125.0,3
2450,Green Glen Layout,1645.0,3.0,110.0,3
2451,Green Glen Layout,1517.0,3.0,100.0,3
2452,Green Glen Layout,3150.0,4.0,218.0,4
2454,Green Glen Layout,1750.0,3.0,120.0,3
2455,Green Glen Layout,1751.0,3.0,115.0,3
2456,Green Glen Layout,1750.0,3.0,105.0,3
2457,Green Glen Layout,1885.0,3.0,135.0,3
2458,Green Glen Layout,1715.0,3.0,120.0,3
2459,Green Glen Layout,1623.29,2.0,105.0,3
2460,Green Glen Layout,1715.0,3.0,115.0,3
2461,Green Glen Layout,1715.0,3.0,105.0,3
2462,Green Glen Layout,1600.0,3.0,105.0,3
